val_loss,val_kappa,val_accuracy,epoch,step,train_loss,train_kappa,train_accuracy,test_loss,test_kappa,test_accuracy
1.481236457824707,0.7954282760620117,0.6942417025566101,0,308,,,,,,
,,,0,308,3.0921733379364014,0.44647282361984253,0.33762678503990173,,,
0.7417349815368652,0.8617935180664062,0.8187347650527954,1,617,,,,,,
,,,1,617,1.093363881111145,0.8025920987129211,0.7296146154403687,,,
0.5514011979103088,0.8897615671157837,0.8479318618774414,2,926,,,,,,
,,,2,926,0.6486353874206543,0.8662317991256714,0.8261663317680359,,,
0.49167826771736145,0.8853381276130676,0.8572587370872498,3,1235,,,,,,
,,,3,1235,0.48407047986984253,0.8948830366134644,0.8647058606147766,,,
0.42485305666923523,0.9025949239730835,0.8742903470993042,4,1544,,,,,,
,,,4,1544,0.39206409454345703,0.9182372689247131,0.8886409997940063,,,
0.41152656078338623,0.8994866609573364,0.8706406950950623,5,1853,,,,,,
,,,5,1853,0.3382203280925751,0.9240250587463379,0.9031440019607544,,,
0.3872305750846863,0.9016218185424805,0.8799675703048706,6,2162,,,,,,
,,,6,2162,0.31916171312332153,0.9269112348556519,0.9070993661880493,,,
0.38521111011505127,0.9093012809753418,0.8751013875007629,7,2471,,,,,,
,,,7,2471,0.2802167534828186,0.9375892877578735,0.9146044850349426,,,
0.3570898473262787,0.9093730449676514,0.8844282031059265,8,2780,,,,,,
,,,8,2780,0.2606750726699829,0.9383141994476318,0.9187626838684082,,,
0.3486923277378082,0.9241507649421692,0.8905109763145447,9,3089,,,,,,
,,,9,3089,0.24448415637016296,0.9432276487350464,0.9253549575805664,,,
0.3302992284297943,0.9251839518547058,0.9002432823181152,10,3398,,,,,,
,,,10,3398,0.2280173897743225,0.9433221817016602,0.928397536277771,,,
0.33359795808792114,0.9115365743637085,0.8896999359130859,11,3707,,,,,,
,,,11,3707,0.21934542059898376,0.9518209099769592,0.9312373399734497,,,
0.33217552304267883,0.9149107336997986,0.8917275071144104,12,4016,,,,,,
,,,12,4016,0.20906123518943787,0.9527764320373535,0.9346855878829956,,,
0.31435614824295044,0.9212045669555664,0.8978102207183838,13,4325,,,,,,
,,,13,4325,0.20568276941776276,0.9491857290267944,0.9347870349884033,,,
0.32544729113578796,0.9145458340644836,0.8909164667129517,14,4634,,,,,,
,,,14,4634,0.19206413626670837,0.958419680595398,0.9408721923828125,,,
0.3185509443283081,0.9282757043838501,0.9018653631210327,15,4943,,,,,,
,,,15,4943,0.1807086169719696,0.9579453468322754,0.9452332854270935,,,
0.30247634649276733,0.934205174446106,0.9018653631210327,16,5252,,,,,,
,,,16,5252,0.17790241539478302,0.9561305642127991,0.9445233345031738,,,
0.31254899501800537,0.92078697681427,0.8949716091156006,17,5561,,,,,,
,,,17,5561,0.16163493692874908,0.961840033531189,0.9489858150482178,,,
0.31351208686828613,0.9195703268051147,0.8941605687141418,18,5870,,,,,,
,,,18,5870,0.16639122366905212,0.9604628086090088,0.9470587968826294,,,
0.2984272241592407,0.9282649159431458,0.900648832321167,19,6179,,,,,,
,,,19,6179,0.17042385041713715,0.9610385894775391,0.9463489055633545,,,
0.3081244230270386,0.9345041513442993,0.9026764035224915,20,6488,,,,,,
,,,20,6488,0.1598614901304245,0.9624043703079224,0.9485801458358765,,,
0.2994404733181,0.9306977391242981,0.9022709131240845,21,6797,,,,,,
,,,21,6797,0.14896123111248016,0.9670999646186829,0.951622724533081,,,
0.30609843134880066,0.9233580827713013,0.9034874439239502,22,7106,,,,,,
,,,22,7106,0.13996621966362,0.9707102179527283,0.955476701259613,,,
0.3058575391769409,0.9171101450920105,0.8978102207183838,23,7415,,,,,,
,,,23,7415,0.14365342259407043,0.9625791311264038,0.9548681378364563,,,
0.30134159326553345,0.9261246919631958,0.9014598727226257,24,7724,,,,,,
,,,24,7724,0.14414186775684357,0.9665793776512146,0.9523326754570007,,,
0.29623764753341675,0.9278217554092407,0.9055150151252747,25,8033,,,,,,
,,,25,8033,0.13839934766292572,0.9680081605911255,0.9567951560020447,,,
0.2967439889907837,0.9267969131469727,0.9042984843254089,26,8342,,,,,,
,,,26,8342,0.13353613018989563,0.967698872089386,0.9588235020637512,,,
0.29424604773521423,0.9283339977264404,0.9059205055236816,27,8651,,,,,,
,,,27,8651,0.1389075666666031,0.9655683636665344,0.9542596340179443,,,
0.2912234663963318,0.9262295961380005,0.9022709131240845,28,8960,,,,,,
,,,28,8960,0.13395294547080994,0.9719815850257874,0.9569979906082153,,,
0.29573866724967957,0.9335252046585083,0.9095701575279236,29,9269,,,,,,
,,,29,9269,0.1292760968208313,0.9708949327468872,0.9597362875938416,,,
0.31123074889183044,0.913895308971405,0.8978102207183838,30,9578,,,,,,
,,,30,9578,0.12402733415365219,0.9667436480522156,0.960547685623169,,,
0.2793996036052704,0.9343051314353943,0.9087591171264648,31,9887,,,,,,
,,,31,9887,0.12928509712219238,0.9683409929275513,0.956693708896637,,,
0.2996531128883362,0.9202530980110168,0.9034874439239502,32,10196,,,,,,
,,,32,10196,0.1257011741399765,0.9664243459701538,0.9586206674575806,,,
0.29907840490341187,0.9281132221221924,0.9002432823181152,33,10505,,,,,,
,,,33,10505,0.12511058151721954,0.9715321660041809,0.9586206674575806,,,
0.27534565329551697,0.9365679025650024,0.9083536267280579,34,10814,,,,,,
,,,34,10814,0.12573017179965973,0.9684018492698669,0.9600405693054199,,,
0.27994632720947266,0.9284175634384155,0.9079480767250061,35,11123,,,,,,
,,,35,11123,0.11813755333423615,0.9716201424598694,0.9615618586540222,,,
0.2849688231945038,0.9259054660797119,0.9071370363235474,36,11432,,,,,,
,,,36,11432,0.11677031964063644,0.9760660529136658,0.9640973806381226,,,
0.2813710570335388,0.9263602495193481,0.9091646671295166,37,11741,,,,,,
,,,37,11741,0.11504541337490082,0.9728955626487732,0.9626774787902832,,,
0.28571394085884094,0.9349159002304077,0.9087591171264648,38,12050,,,,,,
,,,38,12050,0.11548905074596405,0.975699782371521,0.9628803133964539,,,
0.2881946861743927,0.9418011903762817,0.9075425863265991,39,12359,,,,,,
,,,39,12359,0.11701957136392593,0.9723969101905823,0.9606490731239319,,,
0.2872868478298187,0.9272971153259277,0.9063260555267334,40,12668,,,,,,
,,,40,12668,0.11591129750013351,0.9741013050079346,0.9615618586540222,,,
0.28536278009414673,0.9325857162475586,0.9042984843254089,41,12977,,,,,,
,,,41,12977,0.11380122601985931,0.9746952652931213,0.9643002152442932,,,
0.2861052453517914,0.9280911087989807,0.9047039747238159,42,13286,,,,,,
,,,42,13286,0.10930003970861435,0.9779467582702637,0.9645030498504639,,,
0.2977057695388794,0.9327560663223267,0.9014598727226257,43,13595,,,,,,
,,,43,13595,0.1053931787610054,0.9754673838615417,0.9668356776237488,,,
0.2809470295906067,0.9330800771713257,0.9087591171264648,44,13904,,,,,,
,,,44,13904,0.10870134830474854,0.973806619644165,0.9649087190628052,,,
,,,45,13905,,,,0.2600003480911255,0.9395137429237366,0.9175859689712524
